,Platform,Year,Genre,Publisher,Global_Sales,Meta_NP,Meta_VP,Meta_NUsers,Meta_VUsers,test_note_JVC,avis_count_JVC,avis_note_JVC,Classification_Age_JVC,Support_JVC,langue_parlée_JVC,texte_JVC,freq_name
25,PS3,2013,Shooter,Activision,9.59,71.0,10.0,2.9,1110.0,11.0,2.0,3.0,16.0,PlayStation Store,français,français,3.0
26,Wii,2010,Misc,Ubisoft,9.52,74.0,24.0,7.2,31.0,14.0,151.0,15.5,3.0,DVD,français,français,3.0
27,X360,2007,Shooter,Activision,9.32,94.0,70.0,8.5,1600.0,16.0,135.0,10.0,3.0,Autre,français,français,2.0
28,SNES,1994,Platform,Nintendo,9.3,78.0,26.0,8.7,85.0,19.0,207.0,18.6,3.0,Autre,français,français,1.0
29,X360,2011,Role-Playing,Bethesda Softworks,8.84,96.0,89.0,8.6,4358.0,11.0,5.0,17.6,3.0,Autre,français,français,3.0
30,SNES,1992,Racing,Nintendo,8.76,93.0,24.0,7.8,251.0,18.0,195.0,18.0,3.0,Cartouche,anglais,anglais,1.0
31,PC,2009,Simulation,Electronic Arts,8.11,86.0,75.0,7.8,1223.0,15.0,20.0,14.5,12.0,DVD,français,français,3.0
32,PS,1999,Role-Playing,SquareSoft,7.86,90.0,24.0,8.7,1198.0,18.0,109.0,18.9,12.0,Autre,français,français,1.0
33,PSP,2005,Action,Take-Two Interactive,7.72,88.0,65.0,7.7,617.0,17.0,285.0,18.0,18.0,Autre,anglais,français,3.0
34,PS,1997,Platform,Sony Computer Entertainment,7.58,66.0,22.0,7.3,328.0,17.0,16.0,17.0,7.0,Autre,français,français,3.0
35,X360,2008,Shooter,Activision,7.37,84.0,84.0,7.7,720.0,11.0,143.0,14.5,18.0,Autre,français,français,1.0
36,Wii,2006,Action,Nintendo,7.31,95.0,73.0,9.0,2294.0,11.0,4.0,18.3,3.0,Autre,français,français,2.0
37,Wii,2009,Misc,Ubisoft,7.27,49.0,21.0,7.8,124.0,10.0,107.0,14.5,3.0,Autre,français,français,3.0
38,PS2,2003,Racing,Electronic Arts,7.2,85.0,33.0,8.6,260.0,14.0,121.0,16.7,3.0,DVD,français,français,2.0
39,PS,1998,Fighting,Sony Computer Entertainment,7.16,96.0,15.0,9.1,849.0,18.0,28.0,18.1,12.0,Autre,français,français,4.0
40,PS,1998,Platform,Sony Computer Entertainment,7.13,91.0,12.0,9.0,829.0,17.0,16.0,17.0,7.0,Autre,français,français,2.0
41,PS4,2015,Role-Playing,Bethesda Softworks,6.96,87.0,58.0,6.8,6005.0,16.0,245.0,16.9,18.0,Autre,français,français,3.0
42,Wii,2012,Misc,Ubisoft,6.91,74.0,10.0,7.7,35.0,15.0,104.0,17.5,3.0,DVD,français,français,3.0
43,PS2,2004,Racing,Electronic Arts,6.9,82.0,39.0,8.6,232.0,15.0,205.0,17.7,3.0,DVD,français,français,2.0
44,PS2,2002,Shooter,Electronic Arts,6.83,88.0,29.0,8.4,199.0,17.0,199.0,17.2,12.0,DVD,français,français,3.0
45,PS,1996,Platform,Sony Computer Entertainment,6.82,91.0,12.0,9.0,829.0,18.0,17.0,18.2,3.0,Autre,français,français,3.0
46,PS3,2009,Action,Sony Computer Entertainment,6.73,96.0,105.0,8.8,7796.0,18.0,160.0,16.9,16.0,Autre,français,français,3.0
47,PS3,2007,Shooter,Activision,6.72,94.0,44.0,8.4,1362.0,16.0,135.0,10.0,3.0,Autre,français,français,2.0
48,DS,2005,Misc,Nintendo,6.67,74.0,45.0,7.4,32.0,13.0,79.0,15.2,3.0,Cartouche,français,français,3.0
49,PS3,2011,Role-Playing,Bethesda Softworks,6.56,92.0,16.0,6.7,2848.0,11.0,5.0,17.6,3.0,Autre,français,français,3.0
50,NES,1986,Action,Nintendo,6.51,84.0,16.0,8.4,113.0,19.0,190.0,17.8,3.0,Autre,anglais,anglais,2.0
51,XB,2001,Shooter,Microsoft Game Studios,6.43,97.0,68.0,8.7,3014.0,18.0,212.0,17.2,16.0,Blu-Ray,français,français,3.0
52,X360,2009,Shooter,Microsoft Game Studios,6.36,83.0,94.0,7.6,1674.0,16.0,5.0,18.4,16.0,Autre,français,français,3.0
53,PS,1999,Action,GT Interactive,6.27,87.0,22.0,8.0,167.0,19.0,184.0,17.6,3.0,Autre,français,français,4.0
54,X360,2010,Sports,Microsoft Game Studios,6.24,73.0,51.0,7.7,122.0,13.0,151.0,16.1,3.0,DVD,français,français,1.0
55,PS2,2001,Action,Konami Digital Entertainment,6.05,96.0,42.0,8.8,1839.0,11.0,1.0,19.0,3.0,PlayStation Store,français,français,3.0
56,GEN,1992,Platform,Sega,6.03,82.0,11.0,7.8,109.0,19.0,210.0,18.6,3.0,Autre,français,français,3.0
57,PS,1998,Action,Konami Digital Entertainment,6.03,94.0,20.0,8.4,2124.0,18.0,177.0,17.5,3.0,Autre,français,français,3.0
58,Wii,2007,Action,LucasArts,5.83,80.0,17.0,8.7,130.0,14.0,98.0,16.5,3.0,DVD,français,français,1.0
59,PS,1998,Action,Virgin Interactive,5.82,89.0,13.0,9.3,1129.0,18.0,253.0,18.4,16.0,Autre,français,français,3.0
60,PS,1996,Fighting,Sony Computer Entertainment,5.74,89.0,8.0,8.3,207.0,11.0,95.0,16.3,12.0,Autre,français,français,4.0
61,DS,2006,Simulation,505 Games,5.72,67.0,35.0,7.4,31.0,12.0,2.0,15.5,3.0,Autre,français,français,4.0
62,NES,1988,Puzzle,Nintendo,5.58,83.0,27.0,8.1,297.0,11.0,8.0,17.8,3.0,Autre,français,français,4.0
63,N64,1999,Fighting,Nintendo,5.55,79.0,11.0,8.7,493.0,16.0,283.0,17.0,3.0,Cartouche,français,français,2.0
64,X360,2007,Adventure,Ubisoft,5.55,81.0,77.0,7.6,1432.0,11.0,4.0,16.5,3.0,Autre,français,français,3.0
65,PS3,2011,Action,Warner Bros. Interactive Entertainment,5.53,96.0,42.0,8.8,3459.0,11.0,0.0,15.0,16.0,Blu-Ray,français,français,3.0
66,GBA,2001,Platform,Nintendo,5.49,84.0,19.0,7.6,85.0,15.0,119.0,15.1,3.0,Cartouche,français,français,2.0
67,GBA,2001,Platform,Nintendo,5.46,92.0,28.0,9.0,236.0,17.0,144.0,17.8,3.0,Cartouche,français,français,1.0
68,N64,1999,Strategy,Nintendo,5.45,78.0,12.0,8.4,187.0,14.0,103.0,15.3,3.0,Cartouche,français,français,4.0
69,PS3,2008,Shooter,Activision,5.43,85.0,45.0,7.8,549.0,11.0,143.0,14.5,18.0,PlayStation Store,français,français,1.0
70,PS2,2001,Platform,Universal Interactive,5.42,66.0,22.0,7.3,328.0,13.0,169.0,15.9,3.0,CD,français,français,3.0
71,PS3,2014,Misc,Sony Computer Entertainment,5.42,86.0,21.0,6.9,368.0,11.0,122.0,17.0,7.0,PlayStation Store,français,français,4.0
72,GB,1999,Misc,Nintendo,5.31,81.0,22.0,7.7,62.0,15.0,48.0,15.3,3.0,Autre,français,anglais,4.0
73,PS,2000,Role-Playing,SquareSoft,5.3,94.0,22.0,9.0,1468.0,18.0,7.0,19.6,3.0,Autre,français,français,2.0
74,N64,1999,Platform,Nintendo,5.27,90.0,14.0,8.6,309.0,18.0,240.0,17.9,3.0,Cartouche,français,français,1.0
75,GBA,2003,Platform,Nintendo,5.2,94.0,25.0,8.9,276.0,19.0,2.0,20.0,3.0,Autre,anglais,anglais,2.0
76,SNES,1995,Platform,Nintendo,5.15,80.0,22.0,8.6,66.0,17.0,48.0,17.4,3.0,Cartouche,français,français,1.0
77,3DS,2013,Simulation,Nintendo,5.15,71.0,52.0,7.6,250.0,15.0,159.0,15.2,3.0,Cartouche,français,français,2.0
78,PS2,2003,Shooter,Electronic Arts,5.13,68.0,30.0,7.6,134.0,12.0,170.0,14.2,12.0,DVD,français,français,3.0
79,GB,1992,Platform,Nintendo,5.13,81.0,24.0,8.6,105.0,14.0,84.0,16.0,3.0,Cartouche,français,français,1.0
80,PC,1996,Simulation,Microsoft Game Studios,5.12,91.0,66.0,7.2,1367.0,18.0,172.0,14.6,3.0,Autre,français,français,3.0
81,PS2,2006,Misc,RedOctane,5.12,92.0,69.0,8.4,174.0,17.0,49.0,17.6,3.0,DVD,anglais,français,1.0
82,PSP,2006,Action,Take-Two Interactive,5.08,86.0,50.0,8.1,321.0,11.0,17.0,17.4,18.0,Autre,anglais,français,3.0
83,PS,1996,Action,Virgin Interactive,5.05,91.0,8.0,9.5,1271.0,16.0,142.0,16.3,16.0,DVD,anglais,français,3.0
84,PS,1999,Sports,Activision,5.02,92.0,18.0,8.7,124.0,15.0,8.0,11.9,12.0,Cartouche,français,français,2.0
85,PS,1998,Platform,Sony Computer Entertainment,5.0,91.0,15.0,8.9,412.0,18.0,269.0,18.4,7.0,Autre,français,français,1.0
86,Wii,2007,Shooter,Nintendo,5.0,68.0,34.0,7.1,56.0,10.0,163.0,13.7,12.0,DVD,français,français,4.0
87,PS2,2007,Misc,Activision,4.98,82.0,24.0,8.4,88.0,11.0,21.0,17.4,3.0,DVD,français,français,1.0
88,PS3,2007,Action,Sony Computer Entertainment,4.94,88.0,66.0,7.9,3984.0,15.0,2.0,16.0,12.0,Autre,français,français,3.0
89,PS2,2005,Sports,Electronic Arts,4.91,88.0,29.0,8.0,130.0,17.0,18.0,17.4,3.0,DVD,anglais,anglais,2.0
90,DS,2007,Action,LucasArts,4.9,80.0,9.0,6.5,79.0,13.0,64.0,15.1,3.0,Cartouche,français,français,1.0
91,N64,1997,Racing,Nintendo,4.88,88.0,15.0,8.5,205.0,17.0,84.0,17.3,3.0,Cartouche,français,français,1.0
92,PSP,2010,Role-Playing,Capcom,4.87,71.0,34.0,8.4,85.0,11.0,15.0,18.7,3.0,Blu-Ray,japonais,japonais,3.0
93,NES,1990,Puzzle,Nintendo,4.85,94.0,13.0,9.1,1750.0,8.0,17.0,16.1,3.0,Autre,français,anglais,3.0
