,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Meta_NP,Meta_VP,Meta_NUsers,Meta_VUsers,test_note_JVC,avis_count_JVC,avis_note_JVC,Classification_Age_JVC,Support_JVC,langue_parlée_JVC,texte_JVC
34,Call of Duty: Black Ops II,PS3,2012.0,Shooter,Activision,4.99,5.88,0.65,2.52,14.03,83.0,21.0,5.9,1185.0,10.0,27.0,13.2,18.0,PlayStation Store,français,français
35,Call of Duty: Black Ops II,X360,2012.0,Shooter,Activision,8.25,4.3,0.07,1.12,13.73,83.0,73.0,5.4,2658.0,10.0,27.0,13.2,18.0,Autre,français,français
36,Call of Duty: Modern Warfare 2,X360,2009.0,Shooter,Activision,8.52,3.63,0.08,1.29,13.51,94.0,100.0,6.6,3127.0,16.0,135.0,10.0,3.0,Autre,français,français
37,Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,Activision,5.54,5.82,0.49,1.62,13.46,88.0,39.0,3.4,5379.0,12.0,18.0,10.1,18.0,Autre,français,français
40,Call of Duty: Black Ops,PS3,2010.0,Shooter,Activision,5.98,4.44,0.48,1.83,12.73,88.0,58.0,6.9,1432.0,11.0,1.0,1.0,3.0,Autre,français,français
55,Call of Duty: Modern Warfare 2,PS3,2009.0,Shooter,Activision,4.99,3.69,0.38,1.63,10.69,94.0,67.0,6.8,2628.0,16.0,135.0,10.0,3.0,Autre,français,français
57,Super Mario All-Stars,SNES,1993.0,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55,70.0,29.0,7.7,95.0,11.0,118.0,18.8,3.0,Cartouche,français,français
60,Just Dance 3,Wii,2011.0,Misc,Ubisoft,6.05,3.15,0.0,1.07,10.26,74.0,15.0,8.0,23.0,15.0,145.0,17.0,3.0,DVD,français,français
61,Call of Duty: Ghosts,X360,2013.0,Shooter,Activision,6.72,2.63,0.04,0.82,10.21,73.0,29.0,2.8,2150.0,11.0,4.0,12.0,16.0,Autre,français,français
62,Halo: Reach,X360,2010.0,Shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88,91.0,99.0,8.4,3009.0,11.0,3.0,6.7,18.0,Autre,français,français
65,Halo 4,X360,2012.0,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76,87.0,87.0,7.1,3864.0,16.0,4.0,17.8,16.0,DVD,français,français
66,Final Fantasy VII,PS,1997.0,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,92.0,20.0,8.9,2521.0,18.0,215.0,19.0,3.0,Autre,français,français
67,Call of Duty: Ghosts,PS3,2013.0,Shooter,Activision,4.09,3.73,0.38,1.38,9.59,71.0,10.0,2.9,1110.0,11.0,2.0,3.0,16.0,PlayStation Store,français,français
68,Just Dance 2,Wii,2010.0,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52,74.0,24.0,7.2,31.0,14.0,151.0,15.5,3.0,DVD,français,français
70,Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,Activision,5.91,2.38,0.13,0.9,9.32,94.0,70.0,8.5,1600.0,16.0,135.0,10.0,3.0,Autre,français,français
71,Donkey Kong Country,SNES,1994.0,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3,78.0,26.0,8.7,85.0,19.0,207.0,18.6,3.0,Autre,français,français
75,The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84,96.0,89.0,8.6,4358.0,11.0,5.0,17.6,3.0,Autre,français,français
76,Super Mario Kart,SNES,1992.0,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,93.0,24.0,7.8,251.0,18.0,195.0,18.0,3.0,Cartouche,anglais,anglais
