,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,developpeur_goo,distributeur_goo,langue_goo,PEGI_goo,game_series_goo,game_mode_goo,developpeur_wiki,langue_wiki,PEGI_wiki,game_mode_wiki,Meta_NP,Meta_VP,Meta_NUsers,Meta_VUsers,test_note_JVC,avis_count_JVC,avis_note_JVC,Classification_Age_JVC,max_joueurs_JVC,Mode_JVC,Support_JVC,langue_parlée_JVC,texte_JVC,nb_joueurs_JVC
51,Grand Theft Auto IV,X360,2008.0,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02,Rockstar North,,,,,,Rockstar North,Sous-titres et menus : Français,18.0,"Un joueur, multijoueur (16 joueurs maximum sur consoles PS33 et Xbox 3604, 32 joueurs maximum sur Ordinateur6)",98.0,86.0,8.0,3715.0,18,2846,17.6,18.0,,Jouable en solo Multi en local Multi en ligne,Online PlayStation Store Contenu Xbox Live DVD Blu-Ray,anglais,français,
52,Gran Turismo,PS,1997.0,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,,,,,,,Polyphony Digital,,,,96.0,16.0,8.6,392.0,13,373,14.2,3.0,4.0,,UMD,français,français,4.0
53,Super Mario 3D Land,3DS,2011.0,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79,,,,3.0,,,Nintendo EAD Tokyo,Textes en français,3.0,Un joueur,90.0,82.0,8.4,1404.0,16,1162,16.4,3.0,,Jouable en solo,Cartouche,,,
54,Gran Turismo 5,PS3,2010.0,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77,,,,,,,,,,,84.0,82.0,7.8,1337.0,14,2409,15.2,3.0,2.0,Multi sur le même écran Multi en ligne,Blu-Ray,français,français,2.0
55,Call of Duty: Modern Warfare 2,PS3,2009.0,Shooter,Activision,4.99,3.69,0.38,1.63,10.69,,,,,,,,,,,94.0,67.0,6.8,2628.0,16,135,10,,,,,,,
56,Grand Theft Auto IV,PS3,2008.0,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57,Rockstar North,,,,,,Rockstar North,Sous-titres et menus : Français,18.0,"Un joueur, multijoueur (16 joueurs maximum sur consoles PS33 et Xbox 3604, 32 joueurs maximum sur Ordinateur6)",98.0,64.0,7.8,4910.0,18,2846,17.6,18.0,,Jouable en solo Multi en local Multi en ligne,Blu-Ray,anglais,français,
57,Super Mario All-Stars,SNES,1993.0,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55,,,,,,,,,,,70.0,29.0,7.7,95.0,--,118,18.8,,2.0,,Cartouche,,,2.0
58,Pokemon FireRed/Pokemon LeafGreen,GBA,2004.0,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49,,,,,,,,,,,81.0,38.0,8.6,558.0,,,,,,,,,,
59,Super Mario 64,DS,2004.0,Platform,Nintendo,5.08,3.11,1.25,0.98,10.42,,,,,,,Nintendo EAD,"Français, Anglais, Allemand, Japonais",,Un joueur,85.0,54.0,8.3,452.0,19,736,18.8,3.0,,Jouable en solo,Console Virtuelle Cartouche,,français,
60,Just Dance 3,Wii,2011.0,Misc,Ubisoft,6.05,3.15,0.0,1.07,10.26,,,,,,,,,,,74.0,15.0,8.0,23.0,15,145,17,3.0,8.0,,DVD,français,français,8.0
61,Call of Duty: Ghosts,X360,2013.0,Shooter,Activision,6.72,2.63,0.04,0.82,10.21,,,,,,,Infinity Ward,"Anglais, français, allemand, italien, espagnol",16.0,"Un joueur, multijoueur",73.0,29.0,2.8,2150.0,--,4,12,16.0,,Jouable en solo Multi en local Multi en ligne Multi en coopératif Multi en compétitif,Online Contenu Xbox Live PlayStation Store,français,français,
62,Halo: Reach,X360,2010.0,Shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88,,,,,,,,,,,91.0,99.0,8.4,3009.0,--,3,6.7,18.0,,Jouable en solo Multi sur le même écran Multi en ligne,Steam Blu-Ray Windows Store,français,français,
63,Mario Kart 64,N64,1996.0,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,,,,,,,,,,,83.0,15.0,8.6,485.0,17,338,17.4,3.0,4.0,,Cartouche,français,anglais,4.0
64,New Super Mario Bros. 2,3DS,2012.0,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82,,,,,,,,,,,78.0,70.0,7.1,675.0,15,681,14.5,3.0,2.0,,Cartouche,,,2.0
65,Halo 4,X360,2012.0,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76,,,,,,,343 Industries,Multilingue,16.0,"Un joueur, multijoueur",87.0,87.0,7.1,3864.0,16,4,17.8,16.0,,Jouable en solo Multi en ligne Multi en coopératif,DVD,français,français,
66,Final Fantasy VII,PS,1997.0,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,,,,,,,,,,,92.0,20.0,8.9,2521.0,18,215,19,3.0,,Jouable en solo,PlayStation Store Google Play CD,français,français,
67,Call of Duty: Ghosts,PS3,2013.0,Shooter,Activision,4.09,3.73,0.38,1.38,9.59,,,,,,,Infinity Ward,"Anglais, français, allemand, italien, espagnol",16.0,"Un joueur, multijoueur",71.0,10.0,2.9,1110.0,--,2,3,16.0,12.0,Jouable en solo Multi en local Multi en ligne Multi en coopératif Multi en compétitif,PlayStation Store,français,français,12.0
68,Just Dance 2,Wii,2010.0,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52,,,,,,,,,,,74.0,24.0,7.2,31.0,14,151,15.5,3.0,2.0,,DVD,,,2.0
69,Gran Turismo 2,PS,1999.0,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,,,,,,,,,,,93.0,23.0,9.0,327.0,18,343,17.5,3.0,2.0,Multi sur le même écran,CD,français,français,2.0
70,Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,Activision,5.91,2.38,0.13,0.9,9.32,Infinity Ward; Aspyr (Mac); Treya...,,,,,,Infinity Ward,Multilingue,16.0,"Un joueur, multijoueur (Internet/LAN, Playstation Network, Xbox Live)",94.0,70.0,8.5,1600.0,16,135,10,,,,,,,
71,Donkey Kong Country,SNES,1994.0,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3,,,,,,,,,,,78.0,26.0,8.7,85.0,19,207,18.6,3.0,2.0,,,,,2.0
72,Minecraft,X360,2013.0,Misc,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2,"Mojang Studios, Telltale Games, Xbox Game Studios, 4J Studios, Double Eleven, Other Ocean Interactive",,,,,,,,,,82.0,63.0,7.4,578.0,19,4560,18.5,7.0,,Jouable en solo Multi sur le même écran Multi en ligne Multi en coopératif,eShop Online DVD Xbox Live Arcade PlayStation Store,,français,
73,Animal Crossing: New Leaf,3DS,2012.0,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09,,,,,,,,,,,88.0,70.0,8.7,918.0,17,898,18.3,3.0,4.0,Jouable en solo Multi en local Multi en ligne,Cartouche,français,français,4.0
