,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,developpeur_goo,distributeur_goo,langue_goo,PEGI_goo,game_series_goo,game_mode_goo,developpeur_wiki,langue_wiki,PEGI_wiki,game_mode_wiki,Meta_NP,Meta_VP,Meta_NUsers,Meta_VUsers,test_note_JVC,avis_count_JVC,avis_note_JVC,Classification_Age_JVC,max_joueurs_JVC,Mode_JVC,Support_JVC,langue_parlée_JVC,texte_JVC,nb_joueurs_JVC
4336,Plants vs. Zombies: Garden Warfare 2,PS4,2016.0,Shooter,Electronic Arts,0.17,0.21,0.0,0.07,0.45,,,,,,,PopCap Games,"Anglais, français, italien, allemand, espagnol, polonais, portugais brésilien, chinois traditionnel (d)",,"Un joueur, multijoueur",81.0,29.0,7.9,282.0,--,1,17,,,,,,,
4337,Rock Band Country Track Pack,Wii,2009.0,Misc,MTV Games,0.42,0.0,0.0,0.03,0.45,,,,,,,,,,,,,,,--,0,--,,,,DVD,,,
4338,Pro Evolution Soccer 2016,PS3,2015.0,Sports,Konami Digital Entertainment,0.08,0.18,0.15,0.05,0.45,,,,,,,,,,,,,,,--,19,12.8,3.0,,Jouable en solo Multi en local Multi en ligne,,français,français,
4339,Apocalypse,PS,1998.0,Action,Activision,0.25,0.17,0.0,0.03,0.45,,,,,,,,,,,,,,,--,,,12.0,,Jouable en solo,CD,français,français,
4340,Transformers: Revenge of the Fallen (Wii & PS2 Version),DS,2009.0,Action,Activision,0.27,0.14,0.0,0.04,0.45,,,,,,,,,,,53.0,17.0,4.0,16.0,,,,,,,,,,
4341,PES 2009: Pro Evolution Soccer,Wii,2009.0,Sports,Konami Digital Entertainment,0.09,0.26,0.05,0.05,0.45,,,,3.0,,,,,,,84.0,22.0,7.6,27.0,14,43,15.7,3.0,4.0,Multi en ligne,DVD,français,français,4.0
4342,Yu-Gi-Oh! Destiny Board Traveler,GBA,2004.0,Misc,Konami Digital Entertainment,0.32,0.12,0.0,0.01,0.45,,,,,,,,,,,39.0,6.0,5.5,10.0,8,5,6.6,3.0,2.0,,Cartouche,anglais,français,2.0
4343,SingStar Queen,PS3,2009.0,Misc,Sony Computer Entertainment,0.11,0.26,0.0,0.08,0.45,,,,,,,,,,,74.0,37.0,6.7,7.0,--,6,16.2,12.0,,,,,,
4344,God Eater 2,PSV,2013.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.45,0.0,0.45,,,,,,,Shift,"Anglais, français, italien, allemand, espagnol, russe",,"Solo, multijoueur",,,,,--,2,17.5,,,Jouable en solo,New Game Media UMD Blu-Ray,japonais,japonais,
4345,Samurai Warriors 3,Wii,2009.0,Action,Nintendo,0.1,0.02,0.32,0.01,0.45,,,,,,,,,,,55.0,26.0,7.6,27.0,11,38,16.5,12.0,1.0,Multi sur le même écran Multi en ligne,DVD,anglais,français,1.0
4346,World Soccer Winning Eleven 5 Final Evolution,PS2,2001.0,Sports,Konami Digital Entertainment,0.0,0.0,0.45,0.0,0.45,,,,,,,,,,,,,,,,,,,,,,,,
4347,One Piece: Pirate Warriors 3,PS4,2015.0,Action,Namco Bandai Games,0.08,0.22,0.1,0.05,0.45,,,,,,,Omega Force,"Anglais, français, italien, allemand, espagnol, japonais, chinois traditionnel (d)",12.0,"Un joueur, multijoueur",74.0,34.0,7.7,176.0,13,92,15.3,,,,Blu-Ray,,,
4348,Sphinx and the Cursed Mummy,PS2,2003.0,Action,THQ,0.22,0.17,0.0,0.06,0.45,,,,,,,Eurocom,"Anglais, espagnol, français, italien, allemand, coréen",12.0,Solo uniquement,78.0,28.0,8.3,49.0,,,,,,,,,,
4349,Fatal Fury 2,SNES,1993.0,Fighting,Takara,0.0,0.0,0.45,0.0,0.45,,,,,,,,,,,,,,,--,5,15.6,,1.0,,,,,1.0
4350,Rampage World Tour,N64,1998.0,Action,GT Interactive,0.36,0.08,0.0,0.01,0.45,,,,,,,"Games Refuge (arcade, PS)",,,"Un joueur, multijoueur",,,,,10,2,11.5,16.0,,,Nintendo Game Disc DVD,anglais,anglais,
4351,Pokemon Puzzle League,N64,2000.0,Puzzle,Nintendo,0.36,0.08,0.0,0.01,0.45,,,,,,,"NST, Intelligent Systems","Anglais, allemand, français",,Un à deux joueur(s),81.0,15.0,8.4,48.0,--,,,3.0,,Jouable en solo Multi sur le même écran Multi en ligne,,,,
4352,Eternal Sonata,PS3,2008.0,Role-Playing,Atari,0.19,0.13,0.07,0.06,0.45,,,,,,,tri-Crescendo,japonais ou anglais (textes en français),12.0,Un joueur et jusqu'à 3 joueurs en coopération (Local),80.0,34.0,7.8,138.0,17,136,16.3,12.0,2.0,,Blu-Ray,anglais,français,2.0
4353,Dance Dance Revolution: Hottest Party 3,Wii,2009.0,Simulation,Konami Digital Entertainment,0.26,0.14,0.0,0.04,0.45,,,,,,,,,,,66.0,5.0,8.2,5.0,--,3,16,3.0,2.0,,DVD,anglais,français,2.0
4354,FIFA 15,3DS,2014.0,Sports,Electronic Arts,0.09,0.33,0.0,0.03,0.45,,,,,,,EA Canada,Multilingue,3.0,"Solo, Multijoueur En Ligne",,,,,--,6,9,3.0,,Jouable en solo Multi en local,Cartouche,français,français,
4355,Petz: Catz 2,Wii,2007.0,Simulation,Ubisoft,0.41,0.01,0.0,0.03,0.45,"Yuke's, Backbone Entertainment",,,,,Multijoueur,,,,,,,,,12,1,16,3.0,,Jouable en solo,,,,
4356,Bee Movie Game,DS,2007.0,Action,Activision,0.41,0.0,0.0,0.03,0.45,,,,,,,,,,,58.0,9.0,8.7,66.0,10,5,7.8,3.0,,Jouable en solo,,,,
4357,Tekken Advance,GBA,2001.0,Fighting,Infogrames,0.32,0.12,0.0,0.01,0.45,,,,,,,Namco,,,"Un joueur, multijoueur",82.0,14.0,7.7,25.0,14,38,16.5,,,,Cartouche,,,
4358,Shin Megami Tensei: Persona 3,PS2,2006.0,Role-Playing,Tecmo Koei,0.22,0.03,0.0,0.2,0.45,,,,,,,Atlus,Multilingue,12.0,Un joueur,86.0,52.0,6.4,440.0,17,122,18.2,,,,Blu-Ray,anglais,anglais,
4359,Persona,PS,1995.0,Role-Playing,Atlus,0.0,0.0,0.42,0.03,0.45,,,,,,,,,,,95.0,71.0,8.5,3615.0,14,2,14.5,16.0,,,PlayStation Store CD,,,
4360,Band Hero,DS,2009.0,Misc,Activision,0.21,0.19,0.0,0.05,0.45,,,,,"Band Hero, Guitar Hero",,,,,,65.0,18.0,6.3,7.0,--,9,15.8,,3.0,,,,,3.0
4361,Naruto Shippuden: Ultimate Ninja Storm Generations,X360,2012.0,Fighting,Namco Bandai Games,0.26,0.14,0.01,0.04,0.45,,,,,,,CyberConnect2,Multilingue,12.0,"Un joueur, multijoueur",74.0,35.0,6.9,60.0,16,710,16.4,12.0,,Multi en ligne,DVD Blu-Ray,,,
4362,Hot Wheels: Stunt Track Challenge,GBA,2004.0,Racing,THQ,0.32,0.12,0.0,0.01,0.45,,,,,,,,,,,,,,,9,3,7,3.0,2.0,,Cartouche,,anglais,2.0
4363,Viking: Battle for Asgard,X360,2008.0,Action,Sega,0.16,0.24,0.0,0.05,0.45,,,,,,,Creative Assembly,"Anglais, allemand, français, italien, espagnol, russe, polonais",,Solo,68.0,67.0,8.1,98.0,14,116,15.1,18.0,,Jouable en solo,Online Blu-Ray DVD,français,français,
4364,Maze Craze: A Game of Cops 'n Robbers,2600,,Action,Atari,0.42,0.02,0.0,0.0,0.45,,,,,,,,,,,,,,,,,,,,,,,,
4365,Mobile Suit Gundam,PS,1995.0,Action,Namco Bandai Games,0.0,0.0,0.42,0.03,0.45,,,,,,,,,,,66.0,10.0,8.5,44.0,--,1,15,,,,,,,
4366,Silent Hill: Homecoming,X360,,Action,Konami Digital Entertainment,0.25,0.16,0.0,0.04,0.45,,,,,,,Double Helix Games,Français (textes),18.0,Un joueur,70.0,54.0,6.8,218.0,12,146,14.7,18.0,,Jouable en solo,Blu-Ray DVD,anglais,français,
4367,SingStar Take That,PS2,2009.0,Misc,Sony Computer Entertainment,0.0,0.06,0.0,0.39,0.45,,,,,,,,,,,,,,,--,,,12.0,,,,,,
4368,SOCOM: U.S. Navy SEALs Fireteam Bravo 3,PSP,2010.0,Shooter,Sony Computer Entertainment,0.17,0.13,0.06,0.08,0.45,,,,,,,,,,,74.0,51.0,8.1,24.0,12,118,16.5,16.0,16.0,Multi en coopératif Multi en compétitif,UMD,français,français,16.0
4369,Final Fantasy Collection,PS,1999.0,Role-Playing,Square,0.0,0.0,0.42,0.03,0.45,,,,,,,,,,,80.0,14.0,8.7,52.0,--,0,--,,,Jouable en solo,CD,japonais,japonais,
4370,Disney Sing It! High School Musical 3: Senior Year,PS2,2008.0,Misc,Disney Interactive Studios,0.09,0.02,0.0,0.34,0.45,,,,,,,,,,,,,,,,,,,,,,,,
4371,NBA Live 10,X360,2009.0,Sports,Electronic Arts,0.4,0.02,0.0,0.03,0.45,,,,,,,"EA Canada (360, PS3), HB Studios (PSP)",,3.0,Un à 4 joueurs en local et jusqu'à 10 en ligne,80.0,40.0,7.7,40.0,16,29,15,3.0,,Multi en ligne,App Store DVD Blu-Ray UMD,français,français,
4372,Samurai Warriors: Xtreme Legends,PS2,2004.0,Action,Tecmo Koei,0.04,0.03,0.36,0.01,0.45,Omega Force,,,,Samurai Warriors,,,,,,72.0,17.0,8.7,15.0,--,4,19.5,,,,DVD,,,
4373,Tony Hawk's Proving Ground,PS3,2007.0,Sports,Activision,0.36,0.05,0.0,0.05,0.45,,,,,,,,,,,73.0,36.0,6.4,25.0,14,22,14.8,12.0,8.0,Multi en ligne,Blu-Ray,français,français,8.0
4374,NHL FaceOff,PS,1994.0,Sports,Sony Computer Entertainment,0.25,0.17,0.0,0.03,0.45,,,,,,,,,,,78.0,11.0,,,--,,,,4.0,,CD,,,4.0
4375,WWE WrestleMania 21,XB,2005.0,Fighting,THQ,0.34,0.1,0.0,0.02,0.45,,,,,,,Studio Gigante,,,Solo,56.0,48.0,6.8,50.0,9,24,11.4,16.0,2.0,,CD,anglais,français,2.0
4376,Brunswick Pro Bowling,X360,2010.0,Sports,505 Games,0.38,0.04,0.0,0.03,0.45,,,,,,,"Point of View, Inc. (en)",,,"un joueur, multijoueurs",44.0,4.0,,,7,2,15.5,3.0,,Multi en ligne,CD DVD Blu-Ray UMD Cartouche,anglais,anglais,
4377,Worms: Open Warfare 2,PSP,2007.0,Strategy,THQ,0.04,0.26,0.0,0.14,0.45,,,,,,,Team17,,7.0,"Un joueur, multijoueur",80.0,26.0,8.2,36.0,16,65,17.4,7.0,1.0,,UMD,,,1.0
4378,NBA Live 2005,GC,2004.0,Sports,Electronic Arts,0.35,0.09,0.0,0.01,0.45,,,,,,,EA Canada,,3.0,"Un joueur, multijoueur",83.0,17.0,7.1,10.0,16,36,18.1,3.0,,Multi en local Multi en ligne,UMD DVD Cartouche CD Nintendo Game Disc,français,français,
4379,Defender II,2600,1987.0,Shooter,Atari,0.42,0.02,0.0,0.0,0.45,,,,,,,,,,,,,,,18,25,16.4,12.0,,Jouable en solo,,,,
4380,WWE Day of Reckoning,GC,2004.0,Fighting,THQ,0.35,0.09,0.0,0.01,0.45,,,,,,,Yuke's,,,"Multijoueur, solo",79.0,47.0,8.7,95.0,10,31,15.9,16.0,2.0,,Nintendo Game Disc,anglais,anglais,2.0
4381,Dragon Quest Heroes: Rocket Slime,DS,2005.0,Action,Square Enix,0.13,0.0,0.31,0.01,0.45,,,,,,,,,,,83.0,41.0,7.8,56.0,--,9,17.9,,,,Cartouche,,,
4382,ATV Quad Power Racing 2,XB,2003.0,Racing,Acclaim Entertainment,0.36,0.07,0.0,0.01,0.45,,,,,,,,,,,68.0,17.0,,,13,14,17.9,3.0,,,DVD Nintendo Game Disc,français,français,
4383,Walt Disney World Quest: Magical Racing Tour,PS,2000.0,Racing,Eidos Interactive,0.25,0.17,0.0,0.03,0.45,,,,,,,Crystal Dynamics,,,"Solo, multijoueur",65.0,14.0,8.0,5.0,16,2,15.5,3.0,,Jouable en solo,Cartouche GDROM CD,français,français,
4384,Sled Storm,PS2,2002.0,Racing,Electronic Arts,0.22,0.17,0.0,0.06,0.45,,,,,,,Electronic Arts,,,"Multijoueur, solo",73.0,22.0,7.7,9.0,15,10,17.4,,2.0,Multi sur le même écran,,,,2.0
4385,Vandal Hearts,PS,1996.0,Role-Playing,Konami Digital Entertainment,0.14,0.09,0.19,0.03,0.45,,,,,,,Konami CE Tokyo,,12.0,Un joueur,70.0,17.0,6.8,12.0,--,21,17.4,16.0,,Jouable en solo,CD,,français,
4386,Mario Tennis Ultra Smash,WiiU,2015.0,Sports,Nintendo,0.13,0.16,0.13,0.03,0.45,,,,,,,,,,,58.0,58.0,5.1,190.0,10,30,12.3,3.0,,Jouable en solo Multi sur le même écran,iDensity eShop,,français,
4387,Celebrity Sports Showdown,Wii,2008.0,Sports,Electronic Arts,0.18,0.22,0.0,0.05,0.45,,,,,,,,,,,50.0,12.0,5.0,20.0,--,1,13,3.0,2.0,,DVD,,français,2.0
4388,Jawbreaker,2600,1981.0,Action,Tigervision,0.42,0.03,0.0,0.0,0.45,,,,,,,,,,,,,,,,,,,,,,,,
4389,Scooby-Doo! Mystery Mayhem,PS2,2004.0,Action,THQ,0.22,0.17,0.0,0.06,0.45,,,,,,,,,,,55.0,17.0,7.8,19.0,10,7,14.1,3.0,,Jouable en solo,DVD,français,français,
4390,Mario Golf: Advance Tour,GBA,2004.0,Sports,Nintendo,0.32,0.12,0.0,0.01,0.45,,,,,,,,,,,84.0,38.0,8.4,22.0,16,24,16.8,3.0,2.0,,Cartouche,,,2.0
4391,Crash: Mind Over Mutant,PSP,2008.0,Platform,Vivendi Games,0.11,0.22,0.0,0.12,0.45,,,,,,,"Radical Entertainment (PlayStation 2, Xbox 360 & Wii)",Français,7.0,"Un joueur, Multijoueur",,,,,12,36,13.9,7.0,,Jouable en solo,,,,
4392,Karaoke Revolution,Wii,2009.0,Misc,Konami Digital Entertainment,0.24,0.16,0.0,0.04,0.45,"Blitz Games Studios, Blitz Games",,,,Karaoke Revolution,Multijoueur,,,,,63.0,4.0,,,--,2,12.5,12.0,2.0,,DVD,anglais,français,2.0
4393,Discovery Kids: Kitten Corner,DS,2009.0,Simulation,505 Games,0.42,0.0,0.0,0.03,0.45,,,,,,,,,,,,,,,8,2,2,3.0,,Jouable en solo,,,,
4394,Just Dance 2014,XOne,2013.0,Misc,Ubisoft,0.3,0.11,0.0,0.04,0.45,,,,,,,,,,,71.0,6.0,7.0,59.0,16,24,18,3.0,,,Blu-Ray iDensity DVD,français,français,
4395,Yu-Gi-Oh! Capsule Monster Coliseum,PS2,2004.0,Misc,Konami Digital Entertainment,0.22,0.17,0.0,0.06,0.44,,,,,,,,,,,62.0,9.0,8.1,45.0,12,11,16.2,3.0,2.0,,DVD,anglais,français,2.0
4396,Payday 2,PS3,2013.0,Shooter,505 Games,0.21,0.15,0.0,0.08,0.44,Overkill Software,,,,,,Overkill Software,"Anglais (voix), Français (sous-titres)",18.0,SoloMultijoueur,74.0,12.0,6.2,192.0,14,153,14.7,18.0,4.0,Multi en ligne,Blu-Ray,anglais,français,4.0
4397,Major League Baseball 2K6,PS2,2006.0,Sports,Spike,0.37,0.01,0.0,0.06,0.44,,,,,,,Kush Games,,,"Multijoueur, solo",70.0,19.0,5.2,27.0,--,0,--,,2.0,,CD,français,français,2.0
4398,Jampack Volume 13 (RP-M),PS2,2005.0,Misc,Sony Computer Entertainment,0.37,0.01,0.0,0.06,0.44,,,,,,,,,,,,,,,,,,,,,,,,
4399,World Soccer Winning Eleven 9,XB,2005.0,Sports,Konami Digital Entertainment,0.06,0.33,0.02,0.03,0.44,,,,,,,,,,,89.0,19.0,7.1,10.0,19,188,18.4,3.0,2.0,,CD,anglais,français,2.0
4400,NBA Live 2000,N64,1999.0,Sports,Electronic Arts,0.42,0.02,0.0,0.0,0.44,,,,,,,EA Canada,,3.0,"Un joueur, multijoueur",,,,,16,17,16.5,3.0,2.0,,Cartouche,anglais,français,2.0
4401,Teenage Mutant Ninja Turtles 2: Battle Nexus,PS2,2004.0,Action,Konami Digital Entertainment,0.22,0.17,0.0,0.06,0.44,,,,,,,Konami,Japonais,,"Multijoueur, solo, mode coopératif",47.0,25.0,6.7,29.0,7,1,13,,,,CD,anglais,français,
4402,"SpongeBob SquarePants: Lights, Camera, Pants!",PS2,2005.0,Misc,THQ,0.37,0.01,0.0,0.06,0.44,,,,,,Single-player; Multiplayer (console ver...,THQ Studio Australia,Français,,Un à quatre joueurs,59.0,8.0,7.7,34.0,12,29,12.7,3.0,4.0,,DVD,français,français,4.0
4403,Disney Infinity 3.0,X360,2015.0,Action,Disney Interactive Studios,0.19,0.21,0.0,0.04,0.44,,,,7.0,,,,,,,,,,,14,2,19.5,,,,,,,
4404,TouchMaster 3,DS,2009.0,Puzzle,Warner Bros. Interactive Entertainment,0.3,0.11,0.0,0.04,0.44,,,,,,,,,,,68.0,7.0,,,--,1,17,12.0,2.0,,,,,2.0
4405,The Thing,PS2,2002.0,Adventure,Vivendi Games,0.22,0.17,0.0,0.06,0.44,,,,,,,,,,,78.0,27.0,7.5,48.0,16,31,16.1,16.0,,Jouable en solo,CD,français,français,
4406,Disney Infinity 3.0,WiiU,2015.0,Action,Disney Interactive Studios,0.2,0.21,0.0,0.04,0.44,,,,7.0,,,,,,,81.0,6.0,6.7,22.0,14,4,15.5,,,,,,,
4407,Van Helsing,PS2,2004.0,Action,Activision,0.22,0.17,0.0,0.06,0.44,,,,,,,,,,,64.0,41.0,8.0,29.0,12,18,15.5,16.0,,Jouable en solo,DVD,français,français,
4408,X-Men Legends II: Rise of Apocalypse,XB,2005.0,Role-Playing,Activision,0.3,0.12,0.0,0.02,0.44,,,,,,,,,,,82.0,44.0,7.9,60.0,12,14,16.4,12.0,,Multi en local Multi en ligne,UMD DVD Nintendo Game Disc Cartouche,anglais,français,
4409,Food Network: Cook or Be Cooked,Wii,2009.0,Misc,Namco Bandai Games,0.41,0.0,0.0,0.03,0.44,,,,,,,,,,,53.0,8.0,6.8,5.0,,,,,,,,,,
4410,Transformers: Fall of Cybertron,X360,2012.0,Action,Activision,0.28,0.13,0.0,0.04,0.44,,,,7.0,,,,,,,79.0,52.0,8.4,189.0,16,41,17.1,12.0,,Multi en ligne,DVD Blu-Ray,anglais,français,
4411,Metro: Last Light,PS3,2013.0,Action,Deep Silver,0.14,0.2,0.03,0.08,0.44,,,,,,,,,,,80.0,23.0,8.1,585.0,--,16,16.4,18.0,,Jouable en solo,PlayStation Store Online Steam Xbox Live Arcade,français,français,
4412,The Urbz: Sims in the City (all regions sales),DS,2004.0,Simulation,Electronic Arts,0.4,0.01,0.02,0.0,0.44,,,,,,,,,,,67.0,27.0,8.0,27.0,,,,,,,,,,
4413,Spawn: Armageddon,PS2,2003.0,Action,Electronic Arts,0.22,0.17,0.0,0.06,0.44,,,,,,,"Point of View, Inc.",,,Solo,56.0,33.0,7.3,30.0,11,8,15.8,16.0,,Jouable en solo,DVD,français,français,
4414,The Godfather (US sales),XB,2006.0,Action,Electronic Arts,0.33,0.1,0.0,0.02,0.44,,,,,,,,,,,75.0,56.0,8.5,148.0,,,,,,,,,,
4415,DmC: Devil May Cry,X360,2013.0,Action,Capcom,0.26,0.13,0.01,0.04,0.44,,,,,,,Ninja Theory,Multilingue,16.0,Un joueur,86.0,65.0,5.4,1511.0,18,30,16.3,,,,,,,
4416,Plants vs. Zombies: Garden Warfare 2,XOne,2016.0,Shooter,Electronic Arts,0.26,0.15,0.0,0.04,0.44,,,,,,,PopCap Games,"Anglais, français, italien, allemand, espagnol, polonais, portugais brésilien, chinois traditionnel (d)",,"Un joueur, multijoueur",80.0,64.0,8.0,144.0,--,1,17,,,,,,,
4417,World Stadium EX,PS,1996.0,Sports,Namco Bandai Games,0.0,0.0,0.41,0.03,0.44,,,,,,,,,,,,,,,--,0,--,,,,,,,
4418,Tiger Woods PGA Tour 2003,XB,2002.0,Sports,Electronic Arts,0.35,0.08,0.0,0.01,0.44,,,,,,,,,,,88.0,14.0,6.9,11.0,17,4,19.3,3.0,,,CD DVD Nintendo Game Disc,anglais,français,
4419,Battlefield 2: Modern Combat,PS2,2005.0,Shooter,Electronic Arts,0.37,0.01,0.0,0.06,0.44,,,,,,,,,,,80.0,42.0,8.4,90.0,15,80,16.7,12.0,2.0,,DVD,français,français,2.0
4420,G-Force,Wii,2009.0,Action,Disney Interactive Studios,0.19,0.2,0.0,0.05,0.44,,,,,,,,,,,69.0,6.0,6.9,12.0,3,2,1,3.0,,Jouable en solo,CD,,anglais,
4421,Ben 10 Alien Force: Vilgax Attacks,Wii,2009.0,Action,D3Publisher,0.25,0.15,0.0,0.04,0.44,,,,,,,,,,,65.0,5.0,5.7,9.0,8,7,11.9,12.0,,Jouable en solo,DVD,anglais,français,
4422,50 Cent: Bulletproof,XB,2005.0,Action,Vivendi Games,0.33,0.1,0.0,0.02,0.44,,,,,,Multijoueur,"Genuine Games, High Voltage Software (PSP)",,,"Un joueur, Multijoueur",50.0,14.0,5.6,26.0,9,19,8.5,18.0,1.0,,UMD,anglais,anglais,1.0
4423,Densetsu no Stafi 2,GBA,2003.0,Platform,Nintendo,0.0,0.0,0.43,0.01,0.44,,,,,,,,,,,,,,,--,1,16,,,,Cartouche,,,
4424,Independence Day,PS,1997.0,Shooter,Fox Interactive,0.25,0.17,0.0,0.03,0.44,,,,,,,,,,,,,,,12,2,17,,,,,,,
4425,Need for Speed: Shift 2 Unleashed,X360,2011.0,Racing,Electronic Arts,0.18,0.22,0.0,0.04,0.44,,,,,,,,,,,82.0,70.0,6.6,113.0,15,157,15.4,3.0,,Multi en ligne,Blu-Ray DVD App Store,français,français,
4426,Chocobo Racing,PS,1999.0,Racing,SquareSoft,0.07,0.05,0.3,0.03,0.44,,,,,,,Square,anglais,,"Solo, multijoueur",63.0,73.0,2.2,139.0,9,17,14.3,3.0,2.0,Multi sur le même écran,CD,anglais,anglais,2.0
4427,Ninja Gaiden 3,PS3,2012.0,Action,Tecmo Koei,0.19,0.1,0.11,0.05,0.44,,,,,,,,,,,58.0,43.0,5.0,169.0,12,84,12.8,18.0,,Multi en ligne,Blu-Ray,,,
4428,Child of Eden,X360,2011.0,Shooter,Ubisoft,0.28,0.12,0.0,0.04,0.44,,,,,,,Q Entertainment,,,Solo,84.0,81.0,7.9,96.0,18,63,16.3,7.0,,Jouable en solo,,,,
4429,LEGO Star Wars II: The Original Trilogy,XB,2006.0,Action,LucasArts,0.33,0.1,0.0,0.02,0.44,,,,,,,Traveller's Tales,Français,3.0,Solo ou Multijoueur,85.0,27.0,8.5,22.0,13,4,18.8,3.0,,,Cartouche Nintendo Game Disc UMD DVD PlayStation Store,,français,
4430,Family Fest Presents Circus Games,Wii,2008.0,Misc,Ubisoft,0.1,0.29,0.0,0.05,0.44,,,,,,,,,,,,,,,,,,,,,,,,
4431,My Spanish Coach,DS,2007.0,Misc,Ubisoft,0.4,0.01,0.0,0.03,0.44,,,,,,,,,,,73.0,7.0,,,,,,,,,,,,
4432,The Darkness,X360,2007.0,Shooter,Take-Two Interactive,0.36,0.04,0.01,0.04,0.44,,,,,,,,,,,82.0,63.0,8.1,242.0,16,160,16.5,18.0,,,,,,
4433,Gundam SEED: Federation vs. Z.A.F.T.,PS2,2005.0,Shooter,Namco Bandai Games,0.0,0.0,0.44,0.0,0.44,Capcom,,,,Gundam VS,Multijoueur,,,,,45.0,16.0,7.6,13.0,,,,,,,,,,
4434,Ms. Pac-Man Maze Madness,PS,2000.0,Puzzle,Namco Bandai Games,0.25,0.17,0.0,0.03,0.44,,,,,,,Namco,,,"Un joueur, multijoueur",73.0,8.0,6.2,5.0,14,1,20,,,,,,,
4435,Blood Omen: Legacy of Kain,PS,1996.0,Role-Playing,Crystal Dynamics,0.25,0.17,0.0,0.03,0.44,,,,,,,Silicon Knights,Français (textes et voix),,Un joueur,,,,,,,,,,,,,,
4436,Super Bomberman 4,SNES,1996.0,Puzzle,Hudson Soft,0.0,0.0,0.44,0.0,0.44,,,,,,,Produce!,,,"Solo, multijoueur",62.0,63.0,6.7,336.0,,,,,,,,,,
4437,Bomberman II,NES,1991.0,Puzzle,Hudson Soft,0.16,0.03,0.15,0.1,0.44,Hudson Soft,,,,Bomberman,Multijoueur,Hudson Soft,,,"Solo, multijoueur",75.0,10.0,7.8,5.0,,,,,,,,,,
4438,Duke Nukem 64,N64,1997.0,Shooter,GT Interactive,0.35,0.08,0.0,0.01,0.44,,,,,,,,,,,73.0,11.0,7.5,33.0,,,,,,,,,,
4439,Sin and Punishment: Star Successor,Wii,2009.0,Shooter,Nintendo,0.2,0.14,0.06,0.04,0.44,,,,,,,,,,,87.0,60.0,8.5,109.0,,,,,,,,,,
4440,Jump Start Pet Rescue,Wii,2009.0,Misc,Knowledge Adventure,0.41,0.0,0.0,0.03,0.44,,,,,,,,,,,86.0,4.0,,,,,,,,,,,,
4441,Naughty Bear,PS3,2010.0,Action,505 Games,0.18,0.18,0.0,0.07,0.44,,,,,,,,,,,43.0,31.0,5.9,62.0,,,,,,,,,,
4442,"SpongeBob SquarePants: Lights, Camera, Pants!",GC,2005.0,Misc,THQ,0.34,0.09,0.0,0.01,0.44,,,,,,Single-player; Multiplayer (console ver...,THQ Studio Australia,Français,,Un à quatre joueurs,59.0,8.0,7.7,34.0,,,,,,,,,,
4443,Super Robot Taisen OG: Original Generations,PS2,2007.0,Strategy,Banpresto,0.0,0.0,0.44,0.0,0.44,,,,,,,,,,,82.0,7.0,8.4,10.0,,,,,,,,,,
4444,Army Men World War: Final Front,PS,2001.0,Action,3DO,0.24,0.17,0.0,0.03,0.44,,,,,,,,,,,50.0,8.0,6.9,13.0,,,,,,,,,,
4445,Petz: Horsez 2,DS,2007.0,Simulation,Ubisoft,0.41,0.0,0.0,0.03,0.44,,,,,,,,,,,,,,,,,,,,,,,,
4446,Puppy Luv: Spa and Resort,DS,2007.0,Simulation,Activision,0.4,0.0,0.0,0.03,0.44,,,,,,,,,,,,,,,,,,,,,,,,
4447,Yu-Gi-Oh! 5D's Tag Force 4,PSP,2009.0,Strategy,Konami Digital Entertainment,0.19,0.07,0.12,0.06,0.44,,,,,,,,,,,70.0,6.0,8.2,13.0,,,,,,,,,,
4448,MX Unleashed,XB,2004.0,Racing,THQ,0.34,0.08,0.0,0.02,0.44,,,,,,,,,,,81.0,18.0,8.1,15.0,,,,,,,,,,
4449,Jikkyou Powerful Pro Yakyuu 9,PS2,2002.0,Sports,Konami Digital Entertainment,0.0,0.0,0.44,0.0,0.44,,,,,,,,,,,,,,,,,,,,,,,,
4450,Grind Session,PS,2000.0,Sports,Sony Computer Entertainment,0.24,0.17,0.0,0.03,0.44,Shaba Games,,,,,Multijoueur,Shaba Games,,,Un joueurMultijoueur,40.0,8.0,,,,,,,,,,,,
4451,Naruto: Gekito Ninja Taisen! 3,GC,2004.0,Fighting,Tomy Corporation,0.0,0.0,0.43,0.01,0.44,,,,,,,Eighting,,,,72.0,21.0,7.7,22.0,,,,,,,,,,
4452,Barbie: Groom and Glam Pups,DS,2010.0,Action,THQ,0.26,0.14,0.0,0.04,0.44,,,,,,,,,,,,,,,,,,,,,,,,
4453,Wario World,GC,2003.0,Platform,Nintendo,0.34,0.09,0.0,0.01,0.44,,,,,,,Treasure,,3.0,Un joueur,71.0,30.0,7.6,73.0,,,,,,,,,,
4454,Scooby-Doo! Mystery Mayhem,GBA,2003.0,Action,THQ,0.31,0.12,0.0,0.01,0.44,,,,,,,,,,,53.0,6.0,6.8,4.0,,,,,,,,,,
