,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,developpeur_goo,distributeur_goo,langue_goo,PEGI_goo,game_series_goo,game_mode_goo,developpeur_wiki,langue_wiki,PEGI_wiki,game_mode_wiki,test_note_JVC,avis_count_JVC,avis_note_JVC,Classification_Age_JVC,max_joueurs_JVC,Mode_JVC,Support_JVC,Langue_JVC
10,Nintendogs,DS,2005.0,Simulation,Nintendo,9.07,11.0,1.93,2.75,24.76,,,,,,,,,,,15,(159),16.4,+3 ans,"Street Pass pour échanger items et cadeaux, Spot Pass",,Cartouche,
11,Mario Kart DS,DS,2005.0,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42,,,,,,,Nintendo EAD,Multilingue,3+ ?,"Local
1 à 8 joueurs
En ligne (jusqu'au 20 mai 2014)
2 à 4 joueurs",18,(1585),17.7,+3 ans,sans fil et Wi-Fi,,Cartouche,
12,Pokemon Gold/Pokemon Silver,GB,1999.0,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,23.1,,,,,Pokémon,Multijoueur,,,,,no_data,no_data,no_data,,,,,
13,Wii Fit,Wii,2007.0,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72,,,,,,,,,,,15,(227),16.2,+3 ans,non,Jouable en solo,DVD,
14,Wii Fit Plus,Wii,2009.0,Sports,Nintendo,9.09,8.59,2.53,1.79,22.0,,,,,,,,,,,16,(129),15.9,+3 ans,non,Jouable en solo,DVD,
15,Kinect Adventures!,X360,2010.0,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82,,,,,,,Good Science Studio (en),,3 ?,"Un joueur, Multijoueur",11,(3),16.3,+7 ans,non,Jouable en solo,Xbox Live Arcade,
16,Grand Theft Auto V,PS3,2013.0,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4,"Rockstar North, Rockstar San Di...",,,,,,,,,,18,(2489),17.3,+18 ans,,Jouable en solo Multi en ligne,PlayStation Store Blu-Ray,Textes en français Voix en anglais
17,Grand Theft Auto: San Andreas,PS2,2004.0,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,Rockstar North,,,,,,,,,,14,(50),9.8,,,,,
18,Super Mario World,SNES,1990.0,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,,,,,,,,,,,18,(285),18.8,+3 ans,Deux joueurs tour à tour,Jouable en solo Multi en local,Cartouche,
19,Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,Misc,Nintendo,4.75,9.26,4.16,2.05,20.22,,,,,,,,,,,no_data,no_data,no_data,,,,,
20,Pokemon Diamond/Pokemon Pearl,DS,2006.0,Role-Playing,Nintendo,6.42,4.52,6.04,1.37,18.36,,,,,,,,,,,no_data,no_data,no_data,,,,,
21,Super Mario Land,GB,1989.0,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14,"Nintendo, Nintendo Research & Development 1, Nintendo Software Planning & Development",,,,,Solo,Nintendo R&D1,"Jeu en anglais, manuel en français",,Un joueur,15,(165),16.3,,Non,Jouable en solo,Cartouche,
22,Super Mario Bros. 3,NES,1988.0,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,,,,,,,Nintendo R&D4,Japonais,3+ ?,1 à 2 joueurs (en alternance),19,(2),20,+3 ans,,,Cartouche eShop Console Virtuelle,Voix en anglais Textes en anglais
23,Grand Theft Auto V,X360,2013.0,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38,"Rockstar North, Rockstar San Di...",,,,,,,,,,18,(1309),17.5,+18 ans,,Jouable en solo Multi en ligne,DVD Blu-Ray Contenu Xbox Live Online PlayStation Store,Voix en français Textes en français Voix en anglais
24,Grand Theft Auto: Vice City,PS2,2002.0,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,,,,,,,,,,,14,(50),9.8,,,,,
25,Pokemon Ruby/Pokemon Sapphire,GBA,2002.0,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85,,,,,,,,,,,no_data,no_data,no_data,,,,,
26,Pokemon Black/Pokemon White,DS,2010.0,Role-Playing,Nintendo,5.57,3.28,5.65,0.82,15.32,Game Freak,,,,Pokémon,Multijoueur,,,,,no_data,no_data,no_data,,,,,
27,Brain Age 2: More Training in Minutes a Day,DS,2005.0,Puzzle,Nintendo,3.44,5.36,5.32,1.18,15.3,,,,,,,,,,,no_data,no_data,no_data,,,,,
28,Gran Turismo 3: A-Spec,PS2,2001.0,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,,,,,,,Polyphony Digital,Multilingue,3+ ?,"Un joueur, multijoueur (réseau local)",18,(490),17.4,+3 ans,2 joueurs,,DVD,
29,Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,Activision,9.03,4.28,0.13,1.32,14.76,Infinity Ward; Sledgehammer Ga...,,,,,,,,,,12,(18),10.1,+18 ans,,,,
30,Pokémon Yellow: Special Pikachu Edition,GB,1998.0,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64,,,,,,,,,,,16,(686),17.6,+3 ans,,,Cartouche,Voix en français Textes en français
31,Call of Duty: Black Ops,X360,2010.0,Shooter,Activision,9.67,3.73,0.11,1.13,14.64,,,,,,,,,,,--,(1),1,,,,,
32,Pokemon X/Pokemon Y,3DS,2013.0,Role-Playing,Nintendo,5.17,4.05,4.34,0.79,14.35,Game Freak,,,7 ans et plus | 2013 | ...,,,,,,,no_data,no_data,no_data,,,,,
33,Call of Duty: Black Ops 3,PS4,2015.0,Shooter,Activision,5.77,5.81,0.35,2.31,14.24,,,,,,,,,,,--,no_data,no_data,+18 ans,,Jouable en solo Multi sur le même écran Multi en local Multi en ligne Multi en coopératif Multi en compétitif,,
34,Call of Duty: Black Ops II,PS3,2012.0,Shooter,Activision,4.99,5.88,0.65,2.52,14.03,Treyarch,,,18 ans et plus | 2012 | ...,,,,,,,10,(27),13.2,+18 ans,12 joueurs,Jouable en solo Multi en ligne Multi en coopératif Multi en compétitif,PlayStation Store,Voix en français Textes en français
35,Call of Duty: Black Ops II,X360,2012.0,Shooter,Activision,8.25,4.3,0.07,1.12,13.73,Treyarch,,,18 ans et plus | 2012 | ...,,,,,,,10,(27),13.2,+18 ans,,Jouable en solo Multi en ligne Multi en coopératif Multi en compétitif,Online Contenu Xbox Live PlayStation Store,Voix en français Textes en français
