,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,test_note_JVC,avis_count_JVC,avis_note_JVC,description_JVC,Classification_Age_JVC,max_joueurs_JVC,Mode_JVC,Support_JVC,Langue_JVC
26,7293,SBK X: Superbike World Championship,PS3,2010.0,Racing,Black Bean Games,0.05,0.13,0.0,0.04,0.22,14,(36),15,"Editeur(s) / Développeur(s) Black Bean Milestone
Sortie France 04 juin 2010
Genre(s) Course
Classification +3 ans
Mode(s) Multi en ligne
Nombre maximum de joueurs 2-16 joueurs en ligne
Web Site officiel
Support(s) Blu-Ray",+3 ans,2-16 joueurs en ligne,Multi en ligne,,
27,7294,NBA Live 14,PS4,2013.0,Sports,Electronic Arts,0.14,0.05,0.0,0.03,0.22,9,(49),6.2,"Editeur(s) / Développeur(s) Electronic Arts
Sortie France 29 nov. 2013
Genre(s) Sport
Classification +3 ans
Mode(s) Multi en ligne
Nombre maximum de joueurs 2 joueurs en ligne
Support(s) Blu-Ray
Langue de la version disponible en France Voix en français Textes en français",+3 ans,2 joueurs en ligne,Multi en ligne,Blu-Ray,Voix en français Textes en français
28,7295,Scooby-Doo! Mystery Mayhem,GC,2004.0,Action,THQ,0.17,0.04,0.0,0.01,0.22,12,(2),20,"Editeur(s) / Développeur(s) A2M THQ
Sortie France déc. 2003
Genre(s) Action Plate-Forme
Classification +3 ans
Mode(s) Jouable en solo
Support(s) DVD Nintendo Game Disc Cartouche
Langue de la version disponible en France Voix en français Textes en français",+3 ans,,Jouable en solo,DVD Nintendo Game Disc Cartouche,Voix en français Textes en français
29,7296,Kanzen Chuuki Pro Yakyuu Greatest Nine,SAT,1995.0,Sports,Sega,0.0,0.0,0.22,0.0,0.22,no_data,no_data,no_data,no_data,,,,,
30,7297,American Idol,GBA,2003.0,Misc,Codemasters,0.15,0.06,0.0,0.0,0.22,--,(0),--,"Editeur(s) / Développeur(s) Electronic Arts
Sortie France Date de sortie inconnue
Genre(s) Rythme
Support(s) Navigateur Internet App Store",,,,,
31,7298,Summer Athletics: The Ultimate Challenge (Others sales),Wii,2008.0,Sports,DTP Entertainment,0.0,0.2,0.0,0.01,0.22,no_data,no_data,no_data,no_data,,,,,
32,7299,Britney's Dance Beat,GBA,2002.0,Misc,THQ,0.15,0.06,0.0,0.0,0.22,6,(10),11.3,"Editeur(s) / Développeur(s) THQ
Sortie France 14 juin 2002
Genre(s) Rythme
Classification +3 ans
Nombre maximum de joueurs 2 joueurs
Support(s) Cartouche
Langue de la version disponible en France Textes en anglais",+3 ans,2 joueurs,,Cartouche,Textes en anglais
33,7300,Shrek SuperSlam,GC,2005.0,Action,Activision,0.17,0.04,0.0,0.01,0.22,9,(2),20,"Editeur(s) / Développeur(s) Shaba Games Activision
Sortie France 18 nov. 2005
Genre(s) Combat Action
Classification +3 ans
Web Site officiel
Support(s) Cartouche Nintendo Game Disc DVD
Langue de la version disponible en France Voix en français Textes en français",+3 ans,,,Cartouche Nintendo Game Disc DVD,Voix en français Textes en français
34,7301,Sniper: Ghost Warrior 2,X360,2013.0,Shooter,City Interactive,0.06,0.13,0.0,0.02,0.22,16,(2),16.5,"Editeur(s) / Développeur(s) CI Games
Sortie France 04 juin 2021
Genre(s) FPS Action
Classification +18 ans
Mode(s) Jouable en solo
Modèle(s) économique(s) Payant à l'acquisition
Support(s) PlayStation Store Steam Windows Store
Langue de la version disponible en France Textes en français Voix en anglais
Accessoire(s) compatible(s) Manette",+18 ans,,Jouable en solo,PlayStation Store Steam Windows Store,Textes en français Voix en anglais
35,7302,Over G Fighters,X360,2006.0,Simulation,Ubisoft,0.19,0.01,0.0,0.02,0.22,6,(35),11.5,"Editeur(s) / Développeur(s) Taito Ubisoft
Sortie France 29 juin 2006
Genre(s) Tir Wargame Simulation
Classification +12 ans
Mode(s) Multi sur le même écran Multi en ligne
Nombre maximum de joueurs Internet : 2-8 joueurs, 2 joueurs (ecran splitté)
Web Site officiel
Support(s) DVD
Langue de la version disponible en France Textes en français Voix en anglais",+12 ans,"Internet : 2-8 joueurs, 2 joueurs (ecran splitté)",Multi sur le même écran Multi en ligne,DVD,Textes en français Voix en anglais
36,7303,Sailor Moon,SNES,1993.0,Action,Namco Bandai Games,0.0,0.0,0.22,0.0,0.22,--,(21),14.5,"Editeur(s) / Développeur(s) Angel Studios
Sortie France Date de sortie inconnue
Genre(s) Beat'em All
Nombre maximum de joueurs 2 joueurs
Support(s) Cartouche
Date de sortie (au Japon) 27 août 1993",,2 joueurs,,Cartouche,
37,7304,Apache: Air Assault,PS3,2010.0,Simulation,Activision,0.11,0.07,0.0,0.03,0.22,no_data,no_data,no_data,no_data,,,,,
